,ACCOUNTNO,des_all,count
739,010310020,['2 Story'],1
740,010310021,['Ranch 1 Story'],1
741,010310022,['Ranch 1 Story'],1
742,010310023,['2 Story'],1
743,010310024,['2 Story'],1
744,010310025,['2 Story'],1
745,010310026,['1.5 Story Fin'],1
746,010310027,['Ranch 1 Story'],1
747,010310028,['Split Level'],1
748,010310029,['2 Story'],1
749,010310030,['Bi Level'],1
750,010310031,['Ranch 1 Story'],1
751,010310032,['Bi Level'],1
752,010310034,['Light Commercial Utility'],1
753,010310035,['2 Story Split'],1
754,010310039,['2 Story'],1
755,010310040,[nan],1
756,010310041,['Ranch 1 Story'],1
757,010310042,['2 Story'],1
758,010320001,['Split Level'],1
759,010320002,['Ranch 1 Story'],1
760,010320003,['Ranch 1 Story'],1
761,010320004,['Ranch 1 Story'],1
762,010320005,['2 Story Split'],1
763,010320006,['Ranch 1 Story'],1
764,010320007,['Ranch 1 Story'],1
765,010320008,['Ranch 1 Story'],1
766,010320009,['Ranch 1 Story'],1
767,010320010,['Ranch 1 Story'],1
768,010320011,['Ranch 1 Story'],1
769,010320012,['Ranch 1 Story'],1
770,010320013,['Ranch 1 Story'],1
771,010320014,['Ranch 1 Story'],1
772,010320015,['2 Story'],1
773,010320016,['Bi Level'],1
774,010320017,['Bi Level'],1
775,010320018,['Ranch 1 Story'],1
776,010320019,['Split Level'],1
777,010320020,['Bi Level'],1
778,010320021,['Bi Level'],1
779,010320022,['Ranch 1 Story'],1
780,010320023,['Ranch 1 Story'],1
781,010320024,['Bi Level'],1
782,010320025,"['Ranch 1 Story', 'Shed - Equipment or Garage']",2
783,010320026,['Ranch 1 Story'],1
784,010320027,['Ranch 1 Story'],1
785,010320030,['Split Level'],1
786,010320031,['Ranch 1 Story'],1
787,010320032,[nan],1
788,010320033,['Ranch 1 Story'],1
789,010320034,['Ranch 1 Story'],1
790,010320035,['Ranch 1 Story'],1
791,010320038,['Ranch 1 Story'],1
792,010320039,['Ranch 1 Story'],1
793,010320040,['Ranch 1 Story'],1
794,010320041,['Ranch 1 Story'],1
795,010320042,['Ranch 1 Story'],1
796,010320043,['Ranch 1 Story'],1
797,010320044,['Ranch 1 Story'],1
798,010320045,['Ranch 1 Story'],1
799,010320048,['Ranch 1 Story'],1
800,010320049,['Permit Value'],1
801,010320052,['Ranch 1 Story'],1
802,010320053,['Ranch 1 Story'],1
803,010320054,['Ranch 1 Story'],1
804,010320055,['Ranch 1 Story'],1
805,010320056,['Bi Level'],1
806,010320057,['Bi Level'],1
807,010320058,['2 Story'],1
808,010320059,['Ranch 1 Story'],1
809,010320060,['Ranch 1 Story'],1
810,010320061,['Ranch 1 Story'],1
811,010320062,['Ranch 1 Story'],1
812,010320063,['Bi Level'],1
