ACCOUNTNO,des_all,count,class,notes
103080001,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",8,industrial,
110030027,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Clubhouse', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",8,apartment,
110030068,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Laundromat', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",8,apartment,
110620117,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",8,apartment,
110830042,"['Storage Warehouse', 'Storage Warehouse', 'Storage Warehouse', 'Nursery/Greenhouse', 'Light Commercial Utility', 'Storage Warehouse', 'Nursery/Greenhouse', 'Nursery/Greenhouse']",8,retail,
120650071,"['Industrial Flex Mall Building', 'Industrial Flex Mall Building', 'Industrial Flex Mall Building', 'Industrial Flex Mall Building', 'Industrial Flex Mall Building', 'Industrial Flex Mall Building', 'Industrial Flex Mall Building', 'Industrial Flex Mall Building']",8,industrial,
120770023,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",8,apartment,
120960110,"['Shed - Hay', 'Shed - Hay', 'Shed - Hay', 'Shed - Hay', 'Barn', 'Shed - Hay', 'Shed - Hay', 'Shed - Hay']",8,agriculture,
121020048,"['Ranch 1 Story', 'Barn', 'Shed - Shelter', 'Barn', 'Barn', 'Shed - Equipment or Garage', 'Barn', 'Shed - Shelter']",8,single_family,
121060045,"['Pavilions', 'Pavilions', 'Pavilions', 'Storage Warehouse', 'Pavilions', 'Pavilions', 'Banquet Halls', 'Pavilions']",8,government,
10830089,"['Storage Warehouse', 'Storage Warehouse', 'Storage Warehouse', 'Storage Garage', 'Storage Warehouse', 'Office Building', 'Storage Warehouse']",7,industrial,
11030020,"['Storage Warehouse', 'Storage Warehouse', 'Storage Warehouse', 'Storage Warehouse', 'Storage Warehouse', 'Shed - Equipment or Garage', 'Storage Warehouse']",7,industrial,
30010176,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",7,apartment,
30380049,"['Retail Store', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Retail Store', 'Mini Warehouse']",7,industrial,
50030009,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",7,apartment,
60080131,"['Office Building', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",7,industrial,
62840202,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",7,industrial,
84640001,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Office-Apartment', 'Mini Warehouse']",7,industrial,
84860119,"['Clubhouse', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Mini Warehouse', 'Multiple - Residential', 'Multiple - Residential']",7,apartment,
90370118,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Clubhouse']",7,apartment,
